survived,pclass,sex,age,sibsp,parch,embarked
0,3,male,22,1,0,S
1,1,female,38,1,0,C
1,3,female,26,0,0,S
1,1,female,35,1,0,S
0,3,male,35,0,0,S
0,3,male,,0,0,Q
0,1,male,54,0,0,S
0,3,male,2,3,1,S
1,3,female,27,0,2,S
1,2,female,14,1,0,C
1,3,female,4,1,1,S
1,1,female,58,0,0,S
0,3,male,20,0,0,S
0,3,male,39,1,5,S
0,3,female,14,0,0,S
1,2,female,55,0,0,S
0,3,male,2,4,1,Q
1,2,male,,0,0,S
0,3,female,31,1,0,S
1,3,female,,0,0,C
0,2,male,35,0,0,S
1,2,male,34,0,0,S
1,3,female,15,0,0,Q
1,1,male,28,0,0,S
0,3,female,8,3,1,S
1,3,female,38,1,5,S
0,3,male,,0,0,C
0,1,male,19,3,2,S
1,3,female,,0,0,Q
0,3,male,,0,0,S
0,1,male,40,0,0,C
1,1,female,,1,0,C
1,3,female,,0,0,Q
0,2,male,66,0,0,S
0,1,male,28,1,0,C
0,1,male,42,1,0,S
1,3,male,,0,0,C
0,3,male,21,0,0,S
0,3,female,18,2,0,S
1,3,female,14,1,0,C
0,3,female,40,1,0,S
0,2,female,27,1,0,S
0,3,male,,0,0,C
1,2,female,3,1,2,C
1,3,female,19,0,0,Q
0,3,male,,0,0,S
0,3,male,,1,0,Q
1,3,female,,0,0,Q
0,3,male,,2,0,C
0,3,female,18,1,0,S
0,3,male,7,4,1,S
0,3,male,21,0,0,S
1,1,female,49,1,0,C
1,2,female,29,1,0,S
0,1,male,65,0,1,C
1,1,male,,0,0,S
1,2,female,21,0,0,S
0,3,male,28.5,0,0,C
1,2,female,5,1,2,S
0,3,male,11,5,2,S
0,3,male,22,0,0,C
1,1,female,38,0,0,
0,1,male,45,1,0,S
0,3,male,4,3,2,S
0,1,male,,0,0,C
1,3,male,,1,1,C
1,2,female,29,0,0,S
0,3,male,19,0,0,S
1,3,female,17,4,2,S
0,3,male,26,2,0,S
0,2,male,32,0,0,S
0,3,female,16,5,2,S
0,2,male,21,0,0,S
0,3,male,26,1,0,C
1,3,male,32,0,0,S
0,3,male,25,0,0,S
0,3,male,,0,0,S
0,3,male,,0,0,S
1,2,male,0.83,0,2,S
1,3,female,30,0,0,S
0,3,male,22,0,0,S
1,3,male,29,0,0,S
1,3,female,,0,0,Q
0,1,male,28,0,0,S
1,2,female,17,0,0,S
1,3,female,33,3,0,S
0,3,male,16,1,3,S
0,3,male,,0,0,S
1,1,female,23,3,2,S
0,3,male,24,0,0,S
0,3,male,29,0,0,S
0,3,male,20,0,0,S
0,1,male,46,1,0,S
0,3,male,26,1,2,S
0,3,male,59,0,0,S
0,3,male,,0,0,S
0,1,male,71,0,0,C
1,1,male,23,0,1,C
1,2,female,34,0,1,S
0,2,male,34,1,0,S
0,3,female,28,0,0,S
0,3,male,,0,0,S
0,1,male,21,0,1,S
0,3,male,33,0,0,S
0,3,male,37,2,0,S
0,3,male,28,0,0,S
1,3,female,21,0,0,S
1,3,male,,0,0,S
0,3,male,38,0,0,S
1,3,female,,1,0,Q
0,1,male,47,0,0,S
0,3,female,14.5,1,0,C
0,3,male,22,0,0,S
0,3,female,20,1,0,S
0,3,female,17,0,0,C
0,3,male,21,0,0,S
0,3,male,70.5,0,0,Q
0,2,male,29,1,0,S
0,1,male,24,0,1,C
0,3,female,2,4,2,S
0,2,male,21,2,0,S
0,3,male,,0,0,S
0,2,male,32.5,1,0,C
1,2,female,32.5,0,0,S
0,1,male,54,0,1,S
1,3,male,12,1,0,C
0,3,male,,0,0,Q
1,3,male,24,0,0,S
1,3,female,,1,1,C
0,3,male,45,0,0,S
0,3,male,33,0,0,C
0,3,male,20,0,0,S
0,3,female,47,1,0,S
1,2,female,29,1,0,S
0,2,male,25,0,0,S
0,2,male,23,0,0,C
1,1,female,19,0,2,S
0,1,male,37,1,0,S
0,3,male,16,0,0,S
0,1,male,24,0,0,C
0,3,female,,0,2,C
1,3,female,22,0,0,S
1,3,female,24,1,0,S
0,3,male,19,0,0,Q
0,2,male,18,0,0,S
0,2,male,19,1,1,S
1,3,male,27,0,0,S
0,3,female,9,2,2,S
0,2,male,36.5,0,2,S
0,2,male,42,0,0,S
0,2,male,51,0,0,S
1,1,female,22,1,0,S
0,3,male,55.5,0,0,S
0,3,male,40.5,0,2,S
0,3,male,,0,0,S
0,1,male,51,0,1,C
1,3,female,16,0,0,Q
0,3,male,30,0,0,S
0,3,male,,0,0,S
0,3,male,,8,2,S
0,3,male,44,0,1,S
1,2,female,40,0,0,S
0,3,male,26,0,0,S
0,3,male,17,0,0,S
0,3,male,1,4,1,S
1,3,male,9,0,2,S
1,1,female,,0,1,S
0,3,female,45,1,4,S
0,1,male,,0,0,S
0,3,male,28,0,0,S
0,1,male,61,0,0,S
0,3,male,4,4,1,Q
1,3,female,1,1,1,S
0,3,male,21,0,0,S
0,1,male,56,0,0,C
0,3,male,18,1,1,S
0,3,male,,3,1,S
0,1,female,50,0,0,C
0,2,male,30,0,0,S
0,3,male,36,0,0,S
0,3,female,,8,2,S
0,2,male,,0,0,C
0,3,male,9,4,2,S
1,2,male,1,2,1,S
1,3,female,4,0,2,S
0,1,male,,0,0,S
1,3,female,,1,0,Q
1,1,male,45,0,0,S
0,3,male,40,1,1,Q
0,3,male,36,0,0,S
1,2,female,32,0,0,S
0,2,male,19,0,0,S
1,3,female,19,1,0,S
1,2,male,3,1,1,S
1,1,female,44,0,0,C
1,1,female,58,0,0,C
0,3,male,,0,0,Q
0,3,male,42,0,1,S
1,3,female,,0,0,Q
0,2,female,24,0,0,S
0,3,male,28,0,0,S
0,3,male,,8,2,S
0,3,male,34,0,0,S
